City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
1591474,Bac Lieu,100,VN,1593362224,79,9.29,105.72,82.06,12.12
88533,Awjilah,0,LY,1593362225,18,29.11,21.29,92.19,8.68
373303,Juba,32,SS,1593362225,80,4.85,31.58,76.6,3.62
1529376,Korla,62,CN,1593362225,74,41.76,86.15,81.0,4.0
2633274,Akureyri,20,IS,1593362225,82,65.68,-18.09,55.4,11.41
3920736,Chimoré,88,BO,1593362108,60,-16.98,-65.13,66.25,2.55
2017155,Saskylakh,84,RU,1593362208,53,71.92,114.08,69.3,8.61
2013032,Yekaterinoslavka,85,RU,1593362226,91,50.37,129.11,57.72,1.48
3868707,Valdivia,75,CL,1593362226,93,-39.81,-73.25,51.8,11.41
3470137,Belmonte,40,BR,1593362208,74,-15.86,-38.88,78.8,10.29
3667478,Tame,99,CO,1593362227,84,6.46,-71.73,76.42,6.35
588335,Tartu,18,EE,1593362227,44,58.38,26.73,80.6,8.05
686090,Asău,80,RO,1593362217,70,46.43,26.4,75.0,2.35
2122614,Okha,99,RU,1593361727,97,53.57,142.95,45.75,5.32
2068655,Katherine,79,AU,1593362227,55,-14.47,132.27,66.2,4.7
3517970,Pochutla,75,MX,1593362306,66,15.74,-96.47,87.8,6.93
922806,Kipushi,32,CD,1593362227,49,-11.77,27.23,65.53,6.58
5975034,High Prairie,100,CA,1593362228,85,55.43,-116.49,57.92,5.75
3893629,Coquimbo,100,CL,1593362228,72,-29.95,-71.34,59.0,3.36
2209055,Waddān,0,LY,1593362228,14,29.16,16.14,96.58,13.73
2088122,Port Moresby,20,PG,1593362307,94,-9.44,147.18,77.0,9.17
2016307,Solnechnyy,41,RU,1593361729,87,50.72,136.63,55.62,5.73
1513491,Yangi Marg`ilon,0,UZ,1593362307,27,40.43,71.72,73.4,2.24
2229748,Kumbo,96,CM,1593362228,97,6.2,10.67,64.51,1.52
1280849,Kashgar,15,CN,1593362228,18,39.45,75.98,68.0,13.42
3359638,Walvis Bay,0,NA,1593362229,37,-22.96,14.51,71.6,6.93
